epoch,acc,loss,val_acc,val_loss
0,0.582186770700122,1.1094860888651916,0.5636667719945897,1.1562976865225032
1,0.578529381031377,1.1174122859552291,0.5327389364821826,1.2364474167379373
2,0.5778675676627469,1.1145562757464627,0.5508498310270533,1.1882876459935743
3,0.5819777770058032,1.1177260910415396,0.5514070900303968,1.1801442762052625
4,0.5823609321160336,1.108978647235095,0.5371970032152608,1.2153291240537953
5,0.5823609321129194,1.1110992155427524,0.5611591101124547,1.1784403508222345
6,0.5815249573346062,1.1107656877945822,0.5491780564043641,1.1899844705394198
7,0.5827440872241879,1.1149337966554471,0.5541933810862036,1.1884005021155462
8,0.5795046849461566,1.1182903307741299,0.5369183737758675,1.2094123201736935
9,0.5830575777672231,1.1123029062659844,0.5578155599328992,1.1768620338869082
10,0.5810721376582187,1.1181617082026922,0.5575369312865185,1.1925624527533296
11,0.5929151137315549,1.0825376983487647,0.5812204084702939,1.135888513353051
12,0.5970253230699398,1.069054852832825,0.5756478256196423,1.1333092677207934
13,0.6005433836120802,1.0654140757004618,0.5820562958335371,1.124702830946057
14,0.5985579435061901,1.065646943733267,0.5828921833836159,1.1274886792227232
15,0.6023894945856563,1.0619993895804056,0.5801058916676572,1.1295120605696007
16,0.6038524504552304,1.0590245746230003,0.5801058915846193,1.1301329082003142
17,0.6024243268702919,1.0588839883660484,0.5784341167335757,1.129248225587628
18,0.6037131213218783,1.0580344575505058,0.5795486334946933,1.129904084204465
19,0.6024243268682157,1.0577549281433054,0.5812204085948508,1.1219248958710477
20,0.606673865342548,1.052620587405742,0.578434117252563,1.1257879664702612
21,0.6059772196913584,1.0465907551177704,0.5725829048628726,1.1352393154971412
22,0.6051760771924904,1.0499109289041486,0.5750905672224759,1.128125075295497
23,0.6000208993716118,1.056001987324484,0.5803845211319619,1.1191063184580718
24,0.605524400014971,1.0497415534937335,0.5762050839835935,1.1291071168142097
